ProductID,ProductName,Category,Supplier,StockLevel,ReorderPoint,LeadTimeDays,UnitCost,UnitPrice,WarehouseID,LastRestockDate,ExpiryDate,MinimumOrderQuantity
P1067,Premium Laptop,Electronics,S001,15,5,7,899.99,1299.99,W001,2025-01-15,2030-01-15,5
P2078,Wireless Headphones,Electronics,S002,45,20,5,199.99,349.99,W001,2025-01-10,2030-01-10,10
P3045,Bluetooth Speaker,Electronics,S003,60,25,4,79.99,129.99,W002,2025-01-12,2030-01-12,15
P4023,Smart Watch,Electronics,S004,30,15,6,49.99,79.99,W002,2025-01-08,2030-01-08,10
P5012,USB Cable Pack,Accessories,S005,150,50,3,14.99,24.99,W003,2025-01-05,2030-01-05,25
P6034,Wireless Mouse,Accessories,S002,80,30,4,19.99,34.99,W001,2025-01-14,2030-01-14,20
P7056,External Hard Drive,Storage,S006,25,10,7,89.99,149.99,W003,2025-01-09,2030-01-09,5
P8078,Smartphone Case,Accessories,S007,120,40,3,9.99,19.99,W002,2025-01-11,2030-01-11,30
P9090,Tablet,Electronics,S001,20,8,8,299.99,499.99,W001,2025-01-13,2030-01-13,5
P1010,Wireless Charger,Accessories,S003,70,25,4,24.99,39.99,W003,2025-01-07,2030-01-07,15
P1111,Gaming Console,Electronics,S008,12,5,10,349.99,499.99,W001,2025-01-16,2030-01-16,3
P1212,Webcam,Electronics,S004,35,15,5,59.99,89.99,W002,2025-01-06,2030-01-06,10
P1313,Keyboard,Accessories,S002,55,20,4,39.99,69.99,W001,2025-01-08,2030-01-08,10
P1414,Monitor,Electronics,S001,18,8,9,199.99,299.99,W003,2025-01-12,2030-01-12,5
P1515,Printer,Electronics,S009,22,10,8,149.99,249.99,W002,2025-01-15,2030-01-15,5
